ProteinGroup	NV-284-14D	NV-284-Pre	NV-285-14D	NV-285-Pre	NV-291-14D	NV-291-Pre	NV-292-14D	NV-292-Pre	SHAM-257-14D	SHAM-257-Pre	SHAM-258-14D	SHAM-258-Pre	SHAM-485-14D	SHAM-485-Pre	SHAM-523-14D	SHAM-523-Pre	SNI-259-14D	SNI-259-Pre	SNI-260-14D	SNI-260-Pre	SNI-509-14D	SNI-509-Pre	SNI-514-14D	SNI-514-Pre
1-3_GL0117225;11_GL0010649;17_GL0083320;1A-dyr4-07_GL0076389;2-1_GL0009698;2-1_GL0024475;2-1_GL0059565;2-1_GL0121714;2-8_GL0071465;4-1_GL0012890;4-1_GL0019853;5-1_GL0023967;5-8_GL0118237;6-2_GL0069554;8-2_GL0023849;Group2-3A_GL0021448;S-Fe12_GL0089834;S-Fe7_GL0297624	64951.1	52913.8	195652	76690.4	440202	31033.9	92553.1	152105	176328	42963.5	79000.1	239901	284554	24999.7	329766	423433	294165	90053	108325	153353	193046	221194	255321	499616
1-3_GL0117225;11_GL0010649;17_GL0083320;1A-dyr4-07_GL0076389;2-1_GL0009698;2-1_GL0024475;2-1_GL0121714;4-1_GL0012890;4-1_GL0019853;5-8_GL0118237;6-2_GL0069554;8-2_GL0023849;Group2-3A_GL0021448;S-Fe7_GL0297624	6064.925594	NA	NA	NA	13317.28523	3390.698049	14796.54024	3076.172172	2520.978071	NA	6818.718059	6636.814832	7271.034556	4255.629871	6605.773397	5744.98846	NA	4478.321849	9107.442092	10431.66632	2874.446543	6957.033048	5313.097898	6955.978514
1-3_GL0117225;1-6_GL0019151;1A-dyr4-07_GL0076389;2-1_GL0009698;2-1_GL0024475;2-1_GL0059565;2-1_GL0077992;2-1_GL0121714;2-8_GL0071465;22_GL0024428;2A-dyr16-06_GL0031896;4-1_GL0019853;5-1_GL0023967;6-2_GL0069554;G1-5A_GL0036973;Group2-3A_GL0021448;S-Fe12_GL0089834	143398	97170.2	145793	96841.3	441091	202695	275204	63378.7	66909.1	56497.2	277569	99356	94477.7	129964	416951	229884	162642	137516	393507	236711	41130.5	131177	95530.4	455081
1-3_GL0117225;1-6_GL0019151;1A-dyr4-07_GL0076389;2-1_GL0009698;2-1_GL0024475;2-1_GL0077992;2-1_GL0121714;22_GL0024428;2A-dyr16-06_GL0031896;4-1_GL0019853;6-2_GL0069554;Group2-3A_GL0021448	199408	21839.1	65837.6	19918.7	270587	54905.9	163430	20486.4	28083.7	NA	118063	48730.1	104805	32204	240124	86115.9	53329	39880.9	193162	210238	21978.9	44386.2	21461.2	240203
1-3_GL0117225;1-6_GL0019151;2-1_GL0009698;2-1_GL0024475;2-1_GL0121714;6-2_GL0069554	42119.4	10846.1	31645.7	12799.7	105606	27322.4	79346.7	35989.7	29618	24658.7	69111.7	63399.1	93175.4	21368.4	103714	75623.4	85937.8	41557.3	49720.8	77958.8	25880.8	78492.3	68713.6	102076
1-3_GL0117225;1-6_GL0019151;2-1_GL0009698;2-1_GL0024475;4-1_GL0019853;6-2_GL0069554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2989.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1-3_GL0117225;1A-dyr4-07_GL0076389;2-1_GL0024475;2-1_GL0059565;2-1_GL0077992;2-1_GL0121714;4-1_GL0019853;5-1_GL0023967;6-2_GL0069554;8-2_GL0023849;Group2-3A_GL0021448;S-Fe12_GL0089834	116379	56720.4	120027	91734.9	614086	98264.5	419549	82723.2	115964	66994	309270	87468	144264	112764	538630	294282	225562	230800	213940	189737	54758.9	233690	134226	627394
1-3_GL0117225;2-1_GL0009698	10804.6	1298.12	12404.1	NA	73282.5	2678.12	16291.7	46850.1	19004.4	3400.75	25521.4	6984.42	90659.4	NA	43371.7	17478.8	12466.4	34537.7	45169.2	13477.7	68719.6	72044.2	51402.9	63510.3
1-3_GL0117225;2-1_GL0009698;2-1_GL0024475;2-1_GL0121714	21167.6482	7944.44464	17798.90233	4490.656216	61967.98257	6110.196029	35894.97129	NA	8939.608713	6500.666151	32469.48084	NA	17015.29952	11182.58226	17887.30529	21825.92489	16221.96752	5714.834154	25227.57083	32686.48346	12560.13318	14380.05107	23114.11782	61297.77995
1-3_GL0117225;2-1_GL0009698;2-1_GL0024475;2-1_GL0121714;6-2_GL0069554	5652.667227	2748.313048	15643.97753	6295.584344	53266.80809	10514.87291	18357.83267	10083.53769	11251.25294	5249.354194	5769.077733	NA	27522.75957	5357.45495	56135.66883	30435.54582	24243.85465	10903.26972	12679.33978	NA	8209.625928	26394.89004	35791.42635	47720.66079
